Number of non‑zero bins: 812
Total bins: 209952
Fraction: 0.39%

#R=G=B, hence the colours are all gray to black

(np.int64(1), np.int64(33), np.int64(10), np.int64(16)) -> [6.3633804 6.3633804 6.3633804]
(np.int64(1), np.int64(34), np.int64(9), np.int64(16)) -> [10.221871 10.221871 10.221871]
(np.int64(1), np.int64(34), np.int64(9), np.int64(17)) -> [9.073951 9.073951 9.073951]
(np.int64(1), np.int64(34), np.int64(10), np.int64(16)) -> [5.796485 5.796485 5.796485]
(np.int64(1), np.int64(34), np.int64(10), np.int64(17)) -> [2.5626383 2.5626383 2.5626383]
(np.int64(1), np.int64(35), np.int64(9), np.int64(17)) -> [18.512817 18.512817 18.512817]
(np.int64(1), np.int64(35), np.int64(10), np.int64(17)) -> [8.936245 8.936245 8.936245]
(np.int64(2), np.int64(0), np.int64(10), np.int64(17)) -> [21.702156 21.702156 21.702156]
(np.int64(2), np.int64(0), np.int64(10), np.int64(18)) -> [0.6937234 0.6937234 0.6937234]
(np.int64(2), np.int64(0), np.int64(11), np.int64(17)) -> [5.2039137 5.2039137 5.2039137]
(np.int64(2), np.int64(0), np.int64(11), np.int64(18)) -> [1.0007294 1.0007294 1.0007294]
(np.int64(2), np.int64(1), np.int64(10), np.int64(17)) -> [7.7303615 7.7303615 7.7303615]
(np.int64(2), np.int64(1), np.int64(10), np.int64(18)) -> [19.043736 19.043736 19.043736]
(np.int64(2), np.int64(1), np.int64(11), np.int64(18)) -> [1.3517336 1.3517336 1.3517336]
(np.int64(2), np.int64(2), np.int64(10), np.int64(18)) -> [7.266671 7.266671 7.266671]
(np.int64(2), np.int64(6), np.int64(10), np.int64(25)) -> [7.337168 7.337168 7.337168]
(np.int64(2), np.int64(6), np.int64(10), np.int64(26)) -> [20.30629 20.30629 20.30629]
(np.int64(2), np.int64(6), np.int64(11), np.int64(25)) -> [0.59263843 0.59263843 0.59263843]
(np.int64(2), np.int64(7), np.int64(10), np.int64(25)) -> [0.02416853 0.02416853 0.02416853]
(np.int64(2), np.int64(7), np.int64(10), np.int64(26)) -> [23.60972 23.60972 23.60972]
(np.int64(2), np.int64(7), np.int64(11), np.int64(25)) -> [0.2596715 0.2596715 0.2596715]
(np.int64(2), np.int64(7), np.int64(11), np.int64(26)) -> [4.868717 4.868717 4.868717]
(np.int64(2), np.int64(8), np.int64(10), np.int64(26)) -> [21.58056 21.58056 21.58056]
(np.int64(2), np.int64(8), np.int64(11), np.int64(26)) -> [6.914888 6.914888 6.914888]
(np.int64(2), np.int64(9), np.int64(10), np.int64(27)) -> [21.474195 21.474195 21.474195]
(np.int64(2), np.int64(9), np.int64(11), np.int64(27)) -> [7.449442 7.449442 7.449442]
(np.int64(2), np.int64(10), np.int64(10), np.int64(27)) -> [23.19361 23.19361 23.19361]
(np.int64(2), np.int64(10), np.int64(10), np.int64(28)) -> [0.02531941 0.02531941 0.02531941]
(np.int64(2), np.int64(10), np.int64(11), np.int64(27)) -> [5.1173625 5.1173625 5.1173625]
(np.int64(2), np.int64(10), np.int64(11), np.int64(28)) -> [0.21912351 0.21912351 0.21912351]
(np.int64(2), np.int64(11), np.int64(10), np.int64(27)) -> [20.956263 20.956263 20.956263]
(np.int64(2), np.int64(11), np.int64(10), np.int64(28)) -> [6.8518496 6.8518496 6.8518496]
(np.int64(2), np.int64(11), np.int64(11), np.int64(28)) -> [0.6900295 0.6900295 0.6900295]
(np.int64(2), np.int64(15), np.int64(6), np.int64(17)) -> [7.6502333 7.6502333 7.6502333]
(np.int64(2), np.int64(16), np.int64(5), np.int64(17)) -> [19.968525 19.968525 19.968525]
(np.int64(2), np.int64(16), np.int64(6), np.int64(17)) -> [10.850881 10.850881 10.850881]
(np.int64(2), np.int64(16), np.int64(15), np.int64(33)) -> [0.37098667 0.37098667 0.37098667]
(np.int64(2), np.int64(16), np.int64(15), np.int64(34)) -> [0.6280905 0.6280905 0.6280905]
(np.int64(2), np.int64(16), np.int64(16), np.int64(33)) -> [1.417426 1.417426 1.417426]
(np.int64(2), np.int64(16), np.int64(16), np.int64(34)) -> [0.62828463 0.62828463 0.62828463]
(np.int64(2), np.int64(17), np.int64(5), np.int64(16)) -> [11.057202 11.057202 11.057202]
(np.int64(2), np.int64(17), np.int64(5), np.int64(17)) -> [12.60281 12.60281 12.60281]
(np.int64(2), np.int64(17), np.int64(6), np.int64(16)) -> [4.023566 4.023566 4.023566]
(np.int64(2), np.int64(17), np.int64(6), np.int64(17)) -> [3.7417052 3.7417052 3.7417052]
(np.int64(2), np.int64(17), np.int64(15), np.int64(34)) -> [1.2243388 1.2243388 1.2243388]
(np.int64(2), np.int64(17), np.int64(16), np.int64(34)) -> [0.38879937 0.38879937 0.38879937]
(np.int64(2), np.int64(18), np.int64(2), np.int64(19)) -> [1.5415348 1.5415348 1.5415348]
(np.int64(2), np.int64(18), np.int64(2), np.int64(20)) -> [0.18292123 0.18292123 0.18292123]
(np.int64(2), np.int64(18), np.int64(5), np.int64(16)) -> [0.2308675 0.2308675 0.2308675]
(np.int64(2), np.int64(18), np.int64(6), np.int64(16)) -> [2.466563 2.466563 2.466563]
(np.int64(2), np.int64(19), np.int64(2), np.int64(19)) -> [1.8944514 1.8944514 1.8944514]
(np.int64(2), np.int64(20), np.int64(1), np.int64(16)) -> [1.5061584 1.5061584 1.5061584]
(np.int64(2), np.int64(20), np.int64(1), np.int64(17)) -> [1.2022835 1.2022835 1.2022835]
(np.int64(2), np.int64(20), np.int64(1), np.int64(23)) -> [2.7462065 2.7462065 2.7462065]
(np.int64(2), np.int64(20), np.int64(2), np.int64(19)) -> [0.424495 0.424495 0.424495]
(np.int64(2), np.int64(20), np.int64(2), np.int64(20)) -> [1.3763165 1.3763165 1.3763165]
(np.int64(2), np.int64(21), np.int64(2), np.int64(20)) -> [1.8653522 1.8653522 1.8653522]
(np.int64(2), np.int64(22), np.int64(2), np.int64(20)) -> [1.7374568 1.7374568 1.7374568]
(np.int64(2), np.int64(22), np.int64(15), np.int64(5)) -> [3.989678 3.989678 3.989678]
(np.int64(2), np.int64(22), np.int64(16), np.int64(5)) -> [1.6458477 1.6458477 1.6458477]
(np.int64(2), np.int64(23), np.int64(15), np.int64(5)) -> [20.294807 20.294807 20.294807]
(np.int64(2), np.int64(23), np.int64(15), np.int64(6)) -> [0.95195186 0.95195186 0.95195186]
(np.int64(2), np.int64(23), np.int64(16), np.int64(5)) -> [10.748615 10.748615 10.748615]
(np.int64(2), np.int64(23), np.int64(16), np.int64(6)) -> [22.35712 22.35712 22.35712]
(np.int64(2), np.int64(25), np.int64(6), np.int64(27)) -> [12.750387 12.750387 12.750387]
(np.int64(2), np.int64(26), np.int64(5), np.int64(27)) -> [22.974653 22.974653 22.974653]
(np.int64(2), np.int64(26), np.int64(6), np.int64(27)) -> [9.619691 9.619691 9.619691]
(np.int64(2), np.int64(27), np.int64(5), np.int64(26)) -> [22.519703 22.519703 22.519703]
(np.int64(2), np.int64(27), np.int64(6), np.int64(26)) -> [9.45404 9.45404 9.45404]
(np.int64(2), np.int64(28), np.int64(6), np.int64(26)) -> [9.161389 9.161389 9.161389]
(np.int64(2), np.int64(32), np.int64(10), np.int64(16)) -> [28.040653 28.040653 28.040653]
(np.int64(2), np.int64(32), np.int64(11), np.int64(16)) -> [0.12912604 0.12912604 0.12912604]
(np.int64(2), np.int64(33), np.int64(10), np.int64(16)) -> [23.531466 23.531466 23.531466]
(np.int64(2), np.int64(33), np.int64(11), np.int64(16)) -> [4.870686 4.870686 4.870686]
(np.int64(2), np.int64(34), np.int64(10), np.int64(16)) -> [16.000523 16.000523 16.000523]
(np.int64(2), np.int64(34), np.int64(10), np.int64(17)) -> [4.378381 4.378381 4.378381]
(np.int64(2), np.int64(34), np.int64(11), np.int64(16)) -> [6.9563947 6.9563947 6.9563947]
(np.int64(2), np.int64(34), np.int64(11), np.int64(17)) -> [1.172473 1.172473 1.172473]
(np.int64(2), np.int64(35), np.int64(10), np.int64(17)) -> [19.875807 19.875807 19.875807]
(np.int64(2), np.int64(35), np.int64(11), np.int64(17)) -> [8.751622 8.751622 8.751622]
(np.int64(3), np.int64(0), np.int64(11), np.int64(17)) -> [12.841904 12.841904 12.841904]
(np.int64(3), np.int64(0), np.int64(11), np.int64(18)) -> [12.589097 12.589097 12.589097]
(np.int64(3), np.int64(0), np.int64(12), np.int64(17)) -> [2.1975815 2.1975815 2.1975815]
(np.int64(3), np.int64(0), np.int64(12), np.int64(18)) -> [2.8373911 2.8373911 2.8373911]
(np.int64(3), np.int64(1), np.int64(11), np.int64(18)) -> [28.753214 28.753214 28.753214]
(np.int64(3), np.int64(6), np.int64(11), np.int64(25)) -> [16.244936 16.244936 16.244936]
(np.int64(3), np.int64(7), np.int64(11), np.int64(25)) -> [8.680264 8.680264 8.680264]
(np.int64(3), np.int64(7), np.int64(11), np.int64(26)) -> [16.737457 16.737457 16.737457]
(np.int64(3), np.int64(7), np.int64(12), np.int64(25)) -> [2.189824 2.189824 2.189824]
(np.int64(3), np.int64(7), np.int64(12), np.int64(26)) -> [2.3225763 2.3225763 2.3225763]
(np.int64(3), np.int64(8), np.int64(11), np.int64(26)) -> [22.068386 22.068386 22.068386]
(np.int64(3), np.int64(8), np.int64(12), np.int64(26)) -> [8.525328 8.525328 8.525328]
(np.int64(3), np.int64(9), np.int64(11), np.int64(27)) -> [22.413134 22.413134 22.413134]
(np.int64(3), np.int64(9), np.int64(12), np.int64(27)) -> [8.822245 8.822245 8.822245]
(np.int64(3), np.int64(10), np.int64(11), np.int64(27)) -> [17.109947 17.109947 17.109947]
(np.int64(3), np.int64(10), np.int64(11), np.int64(28)) -> [9.170418 9.170418 9.170418]
(np.int64(3), np.int64(10), np.int64(12), np.int64(27)) -> [2.642414 2.642414 2.642414]
(np.int64(3), np.int64(10), np.int64(12), np.int64(28)) -> [1.6615398 1.6615398 1.6615398]
(np.int64(3), np.int64(11), np.int64(11), np.int64(28)) -> [12.183703 12.183703 12.183703]
(np.int64(3), np.int64(16), np.int64(4), np.int64(17)) -> [12.505886 12.505886 12.505886]
(np.int64(3), np.int64(16), np.int64(5), np.int64(17)) -> [19.645285 19.645285 19.645285]
(np.int64(3), np.int64(16), np.int64(15), np.int64(34)) -> [5.72167 5.72167 5.72167]
(np.int64(3), np.int64(17), np.int64(4), np.int64(16)) -> [0.7872731 0.7872731 0.7872731]
(np.int64(3), np.int64(17), np.int64(4), np.int64(17)) -> [8.749399 8.749399 8.749399]
(np.int64(3), np.int64(17), np.int64(5), np.int64(16)) -> [1.33392 1.33392 1.33392]
(np.int64(3), np.int64(17), np.int64(5), np.int64(17)) -> [3.6268055 3.6268055 3.6268055]
(np.int64(3), np.int64(17), np.int64(15), np.int64(34)) -> [18.890955 18.890955 18.890955]
(np.int64(3), np.int64(17), np.int64(15), np.int64(35)) -> [18.19396 18.19396 18.19396]
(np.int64(3), np.int64(17), np.int64(16), np.int64(0)) -> [0.01807399 0.01807399 0.01807399]
(np.int64(3), np.int64(17), np.int64(16), np.int64(33)) -> [0.01713975 0.01713975 0.01713975]
(np.int64(3), np.int64(18), np.int64(2), np.int64(19)) -> [0.14917476 0.14917476 0.14917476]
(np.int64(3), np.int64(18), np.int64(2), np.int64(20)) -> [0.02260843 0.02260843 0.02260843]
(np.int64(3), np.int64(18), np.int64(3), np.int64(19)) -> [0.7287936 0.7287936 0.7287936]
(np.int64(3), np.int64(18), np.int64(3), np.int64(20)) -> [0.14504057 0.14504057 0.14504057]
(np.int64(3), np.int64(18), np.int64(15), np.int64(0)) -> [10.587922 10.587922 10.587922]
(np.int64(3), np.int64(18), np.int64(15), np.int64(35)) -> [7.2568436 7.2568436 7.2568436]
(np.int64(3), np.int64(19), np.int64(1), np.int64(17)) -> [11.007632 11.007632 11.007632]
(np.int64(3), np.int64(19), np.int64(1), np.int64(18)) -> [6.219661 6.219661 6.219661]
(np.int64(3), np.int64(19), np.int64(2), np.int64(17)) -> [5.5836544 5.5836544 5.5836544]
(np.int64(3), np.int64(19), np.int64(2), np.int64(18)) -> [12.9041815 12.9041815 12.9041815]
(np.int64(3), np.int64(19), np.int64(2), np.int64(19)) -> [0.28124446 0.28124446 0.28124446]
(np.int64(3), np.int64(19), np.int64(3), np.int64(19)) -> [0.54649013 0.54649013 0.54649013]
(np.int64(3), np.int64(20), np.int64(1), np.int64(16)) -> [0.2350452 0.2350452 0.2350452]
(np.int64(3), np.int64(20), np.int64(1), np.int64(17)) -> [13.901258 13.901258 13.901258]
(np.int64(3), np.int64(20), np.int64(1), np.int64(22)) -> [19.173618 19.173618 19.173618]
(np.int64(3), np.int64(20), np.int64(1), np.int64(23)) -> [13.594681 13.594681 13.594681]
(np.int64(3), np.int64(20), np.int64(2), np.int64(17)) -> [7.121427 7.121427 7.121427]
(np.int64(3), np.int64(20), np.int64(2), np.int64(20)) -> [0.14230713 0.14230713 0.14230713]
(np.int64(3), np.int64(20), np.int64(2), np.int64(21)) -> [0.06838638 0.06838638 0.06838638]
(np.int64(3), np.int64(20), np.int64(2), np.int64(22)) -> [16.27203 16.27203 16.27203]
(np.int64(3), np.int64(20), np.int64(2), np.int64(23)) -> [4.3708806 4.3708806 4.3708806]
(np.int64(3), np.int64(20), np.int64(3), np.int64(20)) -> [0.06330089 0.06330089 0.06330089]
(np.int64(3), np.int64(20), np.int64(15), np.int64(2)) -> [0.04080723 0.04080723 0.04080723]
(np.int64(3), np.int64(21), np.int64(1), np.int64(21)) -> [0.0296586 0.0296586 0.0296586]
(np.int64(3), np.int64(21), np.int64(2), np.int64(20)) -> [0.19644988 0.19644988 0.19644988]
(np.int64(3), np.int64(21), np.int64(2), np.int64(21)) -> [2.7863946 2.7863946 2.7863946]
(np.int64(3), np.int64(21), np.int64(2), np.int64(22)) -> [0.05350959 0.05350959 0.05350959]
(np.int64(3), np.int64(21), np.int64(3), np.int64(20)) -> [0.7635885 0.7635885 0.7635885]
(np.int64(3), np.int64(21), np.int64(15), np.int64(3)) -> [11.11354 11.11354 11.11354]
(np.int64(3), np.int64(21), np.int64(15), np.int64(4)) -> [8.025003 8.025003 8.025003]
(np.int64(3), np.int64(22), np.int64(2), np.int64(20)) -> [0.09404377 0.09404377 0.09404377]
(np.int64(3), np.int64(22), np.int64(3), np.int64(20)) -> [0.46755672 0.46755672 0.46755672]
(np.int64(3), np.int64(22), np.int64(15), np.int64(4)) -> [20.156746 20.156746 20.156746]
(np.int64(3), np.int64(22), np.int64(15), np.int64(5)) -> [18.920938 18.920938 18.920938]
(np.int64(3), np.int64(23), np.int64(15), np.int64(5)) -> [8.506804 8.506804 8.506804]
(np.int64(3), np.int64(26), np.int64(4), np.int64(27)) -> [22.467978 22.467978 22.467978]
(np.int64(3), np.int64(26), np.int64(5), np.int64(27)) -> [13.100352 13.100352 13.100352]
(np.int64(3), np.int64(26), np.int64(16), np.int64(7)) -> [0.03094261 0.03094261 0.03094261]
(np.int64(3), np.int64(27), np.int64(4), np.int64(26)) -> [20.735455 20.735455 20.735455]
